Date,Latitude,Longitude,Sea_Surface_Temperature,Year,Month_Number,Month,Day,Day_of_Year,Week,Quarter,Hemisphere,Season,Average_SST,SST_Anomaly,Heatwave_Risk,Risk_Label,Corrected_Lon
2024-01-09,10.125,300.125,28.609999,2024,1,January,9,9,2,1,Northern,Winter,27.164665,1.445333999999999,Watch,1,-59.875
2024-01-09,10.125,310.125,28.09,2024,1,January,9,9,2,1,Northern,Winter,26.959665,1.1303349999999988,Watch,1,-49.875
2024-01-09,10.125,340.125,27.98,2024,1,January,9,9,2,1,Northern,Winter,26.244,1.7360000000000009,Watch,1,-19.875
2024-01-10,-19.875,0.125,23.529999,2024,1,January,10,10,2,1,Southern,Winter,22.113667,1.4163320000000006,Watch,1,0.125
2024-01-10,-19.875,330.125,27.699999,2024,1,January,10,10,2,1,Southern,Winter,26.509333,1.190665999999997,Watch,1,-29.875
2024-01-10,-19.875,340.125,26.33,2024,1,January,10,10,2,1,Southern,Winter,24.955334,1.3746659999999975,Watch,1,-19.875
2024-01-10,-19.875,350.125,24.65,2024,1,January,10,10,2,1,Southern,Winter,23.272999,1.377001,Watch,1,-9.875
2024-01-10,-9.875,0.125,26.51,2024,1,January,10,10,2,1,Southern,Winter,25.012999,1.497001000000001,Watch,1,0.125
2024-01-10,-9.875,340.125,27.16,2024,1,January,10,10,2,1,Southern,Winter,25.896334,1.2636660000000006,Watch,1,-19.875
2024-01-10,-9.875,350.125,26.55,2024,1,January,10,10,2,1,Southern,Winter,24.98,1.5700000000000005,Watch,1,-9.875
2024-01-10,10.125,300.125,28.519999,2024,1,January,10,10,2,1,Northern,Winter,27.104,1.4159989999999991,Watch,1,-59.875
2024-01-10,10.125,310.125,28.08,2024,1,January,10,10,2,1,Northern,Winter,26.931334,1.1486659999999986,Watch,1,-49.875
2024-01-10,10.125,340.125,27.939999,2024,1,January,10,10,2,1,Northern,Winter,26.202333,1.7376660000000008,Watch,1,-19.875
2024-01-11,-19.875,0.125,23.51,2024,1,January,11,11,2,1,Southern,Winter,22.142,1.368000000000002,Watch,1,0.125
2024-01-11,-19.875,330.125,27.81,2024,1,January,11,11,2,1,Southern,Winter,26.554333,1.255666999999999,Watch,1,-29.875
2024-01-11,-19.875,340.125,26.43,2024,1,January,11,11,2,1,Southern,Winter,25.043667,1.3863330000000005,Watch,1,-19.875
2024-01-11,-19.875,350.125,24.67,2024,1,January,11,11,2,1,Southern,Winter,23.335667,1.3343330000000009,Watch,1,-9.875
2024-01-11,-9.875,0.125,26.49,2024,1,January,11,11,2,1,Southern,Winter,24.945333,1.544666999999997,Watch,1,0.125
2024-01-11,-9.875,340.125,27.24,2024,1,January,11,11,2,1,Southern,Winter,25.943666,1.296333999999998,Watch,1,-19.875
2024-01-11,-9.875,350.125,26.599998,2024,1,January,11,11,2,1,Southern,Winter,25.032999,1.5669989999999991,Watch,1,-9.875
2024-01-11,10.125,300.125,28.519999,2024,1,January,11,11,2,1,Northern,Winter,27.084665,1.4353339999999974,Watch,1,-59.875
2024-01-11,10.125,310.125,28.039999,2024,1,January,11,11,2,1,Northern,Winter,26.905333,1.1346660000000028,Watch,1,-49.875
2024-01-11,10.125,340.125,28.0,2024,1,January,11,11,2,1,Northern,Winter,26.155666,1.844334,Watch,1,-19.875
2024-01-12,-19.875,0.125,23.47,2024,1,January,12,12,2,1,Southern,Winter,22.161,1.3089999999999975,Watch,1,0.125
2024-01-12,-19.875,330.125,27.92,2024,1,January,12,12,2,1,Southern,Winter,26.566,1.3540000000000028,Watch,1,-29.875
2024-01-12,-19.875,340.125,26.51,2024,1,January,12,12,2,1,Southern,Winter,25.147999,1.362001000000003,Watch,1,-19.875
2024-01-12,-19.875,350.125,24.66,2024,1,January,12,12,2,1,Southern,Winter,23.439667,1.220333,Watch,1,-9.875
2024-01-12,-9.875,0.125,26.449999,2024,1,January,12,12,2,1,Southern,Winter,24.939999,1.509999999999998,Watch,1,0.125
2024-01-12,-9.875,340.125,27.269999,2024,1,January,12,12,2,1,Southern,Winter,25.962666,1.307333,Watch,1,-19.875
2024-01-12,-9.875,350.125,26.67,2024,1,January,12,12,2,1,Southern,Winter,25.080666,1.589334000000001,Watch,1,-9.875
2024-01-12,10.125,300.125,28.519999,2024,1,January,12,12,2,1,Northern,Winter,27.052,1.467998999999999,Watch,1,-59.875
2024-01-12,10.125,310.125,28.029999,2024,1,January,12,12,2,1,Northern,Winter,26.812666,1.217333,Watch,1,-49.875
2024-01-12,10.125,340.125,27.859999,2024,1,January,12,12,2,1,Northern,Winter,26.177666,1.682333,Watch,1,-19.875
2024-01-13,-19.875,0.125,23.47,2024,1,January,13,13,2,1,Southern,Winter,22.206,1.2639999999999991,Watch,1,0.125
2024-01-13,-19.875,330.125,27.92,2024,1,January,13,13,2,1,Southern,Winter,26.607332,1.3126680000000022,Watch,1,-29.875
2024-01-13,-19.875,340.125,26.48,2024,1,January,13,13,2,1,Southern,Winter,25.168,1.3120000000000012,Watch,1,-19.875
2024-01-13,-19.875,350.125,24.66,2024,1,January,13,13,2,1,Southern,Winter,23.493666,1.166333999999999,Watch,1,-9.875
2024-01-13,-9.875,0.125,26.539999,2024,1,January,13,13,2,1,Southern,Winter,25.053665,1.486334000000003,Watch,1,0.125
2024-01-13,-9.875,10.125,28.21,2024,1,January,13,13,2,1,Southern,Winter,27.143,1.0670000000000002,Watch,1,10.125
2024-01-13,-9.875,340.125,27.269999,2024,1,January,13,13,2,1,Southern,Winter,25.962666,1.307333,Watch,1,-19.875
2024-01-13,-9.875,350.125,26.76,2024,1,January,13,13,2,1,Southern,Winter,25.122334,1.637666000000003,Watch,1,-9.875
2024-01-13,10.125,300.125,28.5,2024,1,January,13,13,2,1,Northern,Winter,26.984,1.5159999999999982,Watch,1,-59.875
2024-01-13,10.125,310.125,28.019999,2024,1,January,13,13,2,1,Northern,Winter,26.776333,1.2436659999999975,Watch,1,-49.875
2024-01-13,10.125,340.125,27.699999,2024,1,January,13,13,2,1,Northern,Winter,26.167334,1.532664999999998,Watch,1,-19.875
2024-01-14,-19.875,0.125,23.519999,2024,1,January,14,14,2,1,Southern,Winter,22.226,1.2939989999999997,Watch,1,0.125
2024-01-14,-19.875,330.125,27.91,2024,1,January,14,14,2,1,Southern,Winter,26.606998,1.303001999999999,Watch,1,-29.875
2024-01-14,-19.875,340.125,26.46,2024,1,January,14,14,2,1,Southern,Winter,25.178665,1.281335000000002,Watch,1,-19.875
2024-01-14,-19.875,350.125,24.689999,2024,1,January,14,14,2,1,Southern,Winter,23.504333,1.1856660000000012,Watch,1,-9.875
2024-01-14,-9.875,0.125,26.56,2024,1,January,14,14,2,1,Southern,Winter,25.035332,1.5246679999999984,Watch,1,0.125
2024-01-14,-9.875,10.125,28.38,2024,1,January,14,14,2,1,Southern,Winter,27.155666,1.224333999999999,Watch,1,10.125
2024-01-14,-9.875,340.125,27.279999,2024,1,January,14,14,2,1,Southern,Winter,25.985332,1.2946670000000005,Watch,1,-19.875
2024-01-14,-9.875,350.125,26.82,2024,1,January,14,14,2,1,Southern,Winter,25.161667,1.658332999999999,Watch,1,-9.875
2024-01-14,10.125,300.125,28.529999,2024,1,January,14,14,2,1,Northern,Winter,27.068333,1.461666000000001,Watch,1,-59.875
2024-01-14,10.125,310.125,28.019999,2024,1,January,14,14,2,1,Northern,Winter,26.757332,1.2626669999999969,Watch,1,-49.875
2024-01-14,10.125,340.125,27.699999,2024,1,January,14,14,2,1,Northern,Winter,26.178333,1.5216659999999995,Watch,1,-19.875
2024-01-15,-19.875,0.125,23.59,2024,1,January,15,15,3,1,Southern,Winter,22.280666,1.3093339999999998,Watch,1,0.125
2024-01-15,-19.875,330.125,27.849998,2024,1,January,15,15,3,1,Southern,Winter,26.73,1.119997999999999,Watch,1,-29.875
